question_id,question_type,bucket,entailment,verdict,question,quote
sample_4_yes_q03,positive,support,0.459,ok,Did the patient attend for an annual asthma follow-up?,"So, this is your annual follow-up. It is, for the asthma."
sample_4_yes_q07,positive,support,0.001,WEAK,Is the heart examination without abnormal findings?,Nothing abnormal to report.
sample_4_yes_q06,positive,support,0.011,WEAK,Was the patient listened to with a stethoscope?,"Let me listen to your chest and your heart, and then we will talk. Go ahead. Breathe normally for me. And again. Is it alright? Your chest and heart both sound normal."
sample_4_yes_q05,positive,support,0.079,WEAK,Were the lungs found to be normal on auscultation?,Your chest and heart both sound normal. Nothing abnormal to report.
sample_4_yes_q02,positive,support,0.001,WEAK,Are the patient's asthma findings stable at this visit?,This is what a stable annual check looks like.
sample_4_hard_no_q01,hard_negative,refute,0.0,ok,Should the asthma medication dose be increased?,No changes. You carry on exactly as you are.
sample_4_yes_q01,positive,support,0.982,ok,Will the current treatment continue unchanged?,what happens with my treatment? No changes. You carry on exactly as you are. Nothing
sample_4_yes_q04,positive,support,0.779,ok,Does the visit concern asthma?,"It is, for the asthma."
sample_4_hard_no_q02,hard_negative,refute,0.0,ok,Has an irregular heart rhythm been found?,Your chest and heart both sound normal.
sample_5_yes_q01,positive,support,0.935,ok,Does the patient take pantoprazole for reflux?,And then the anti-inflammatory gave me reflux on top. Which is why you are on pantoprazole for that.
sample_5_hard_no_q02,hard_negative,refute,0.0,ok,Did the back pain begin after surgery for a lumbar disc prolapse?,"the cervical disc prolapse, operated in 2017"
sample_5_hard_no_q01,hard_negative,refute,0.0,ok,Have the pains in the hands been attributed to gout?,Osteoarthritis is what is suspected there
sample_5_yes_q05,positive,support,0.993,ok,Is the patient still in pain despite regular Ibumetin and Panodil?,pain has just carried on regardless. Despite taking the ibumetin and the panadil regularly?
sample_5_yes_q02,positive,support,0.021,WEAK,Will the NSAID treatment be continued under cover of a proton pump inhibitor?,"For the pain, you continue the anti-inflammatory with the stomach protection alongside it."
sample_5_yes_q06,positive,support,0.989,ok,Did the patient undergo surgery for a cervical disc prolapse in 2017?,"cervical disc prolapse, operated in 2017."
sample_5_yes_q03,positive,support,0.991,ok,Was muscle tension found in the neck and shoulders?,i can feel muscle tension in your neck and shoulders that
sample_5_yes_q04,positive,support,0.996,ok,Are the menopausal symptoms treated with Activelle?,"the menopausal symptoms, which you are taking Activel for."
sample_6_yes_q03,positive,support,0.005,WEAK,Was the patient's voice noted to sound congested?,You do sound congested.
sample_6_hard_no_q02,hard_negative,refute,0.0,ok,Should the fungal infection be treated with Brentan gel?,"And fluconazole, 50 milligrams, for seven days, for the mouth."
sample_6_yes_q04,positive,support,0.691,ok,Are four daily doses of one million IU of penicillin planned?,"For the sinuses, penicillin. One million international units, four times daily, for seven days."
sample_6_yes_q05,positive,support,0.002,WEAK,Does the patient also have a fungal infection in the mouth?,"And fluconazole, 50 milligrams, for seven days, for the mouth."
sample_6_yes_q07,positive,support,0.352,ok,Did the patient ask for penicillin?,I want penicillin for it.
sample_6_yes_q01,positive,support,0.95,ok,Will the patient take Fluconazole 50 mg?,"And fluconazole, 50 milligrams, for seven days, for the mouth."
sample_6_hard_no_q01,hard_negative,refute,0.0,ok,Does the patient want to avoid antibiotics?,I want penicillin for it.
sample_6_yes_q02,positive,support,0.994,ok,Is the patient complaining of sinus symptoms?,"My sinuses. Blocked, aching, the whole business."
sample_6_yes_q06,positive,support,0.912,ok,Has penicillin been prescribed for seven days?,"penicillin. One million international units, four times daily, for seven days."
sample_10_hard_no_q01,hard_negative,refute,0.0,ok,Has the doctor found the condition to be unstable?,I would describe this as a stable situation.
sample_10_hard_no_q04,hard_negative,refute,0.0,ok,Did the patient report new breathing symptoms?,Any new symptoms? No. Nothing new.
sample_10_yes_q01,positive,support,0.815,ok,Does the patient need continued treatment?,You do need to continue the treatment you
sample_10_hard_no_q05,hard_negative,refute,0.0,ok,Is the stomach acid medication being discontinued?,Dimista and Esomeprazole for the stomach acid. Both renewed.
sample_10_hard_no_q03,hard_negative,refute,0.004,ok,Were abnormal sounds heard over the lungs?,Nothing abnormal on listening.
sample_10_yes_q02,positive,support,0.992,ok,Were the lungs and heart normal on auscultation?,Your lungs and and your heart both sound normal. Nothing abnormal on listening.
sample_10_yes_q03,positive,support,0.004,WEAK,"Are the patient's complaints unchanged, with nothing new reported?",No. Nothing new.
sample_17_yes_q03,positive,support,0.039,WEAK,Is the medicine to be taken after a meal?,You take it after a meal.
sample_17_hard_no_q06,hard_negative,refute,0.0,ok,Has the patient been told that the condition needs no treatment?,And it is one that needs treating.
sample_17_yes_q02,positive,support,0.872,ok,Should the daily dose be 100 mg?,100 mg daily for
sample_17_hard_no_q05,hard_negative,refute,0.0,ok,Were bacteria identified in the sample?,The swab shows yeast fungi.
sample_17_hard_no_q03,hard_negative,refute,0.039,ok,Did the swab come from the throat?,You are here for the answer on the swab from your mouth.
sample_17_hard_no_q02,hard_negative,refute,0.0,ok,Was the prescribed dose 200 mg daily?,Sporanox. 100 mg daily for 2 weeks.
sample_17_hard_no_q01,hard_negative,refute,0.007,ok,"The treatment is planned to run for six weeks, right?",100 mg daily for 2 weeks
sample_17_hard_no_q04,hard_negative,refute,0.0,ok,Should the tablets be taken on an empty stomach?,Always after food.
sample_17_yes_q01,positive,support,0.247,WEAK,Will the treatment last two weeks?,After a meal every day for 2 weeks.
sample_18_yes_q04,positive,support,0.993,ok,Should kidney function be monitored?,we should monitor your blood pressure and your kidney function.
sample_18_yes_q02,positive,support,0.983,ok,Did the patient ask for a renewal of the Ibumetin prescription?,I need my ibumetin renewed.
sample_18_yes_q01,positive,support,0.007,WEAK,Has the Ibumetin prescription been issued?,Yes. The prescription is created.
sample_18_yes_q07,positive,support,0.972,ok,Is the patient also taking Pantoprazole?,"And you are still taking pantoprazole alongside it? Yes, every day with it. Good."
sample_18_hard_no_q01,hard_negative,refute,0.0,ok,Were liver values the focus of the planned blood tests?,"We check kidneys, cholesterol, and blood sugar."
sample_18_hard_no_q02,hard_negative,refute,0.0,ok,Should the blood pressure readings be taken at the clinic instead of at home?,I would like you to measure your blood pressure at home over three days.
sample_18_yes_q06,positive,support,0.173,WEAK,Will the blood tests include cholesterol and blood sugar?,"We check kidneys, cholesterol, and blood sugar."
sample_18_yes_q03,positive,support,0.353,ok,Does the doctor consider the NSAID use long-standing and high?,You have used anti-inflammatory painkillers heavily and for a long time.
sample_18_yes_q05,positive,support,0.996,ok,Was blood pressure to be measured at home over three days?,I would like you to measure your blood pressure at home over three days. I
sample_19_yes_q04,positive,support,0.99,ok,Is the patient still being treated for asthma?,I am still being treated for asthma and
sample_19_hard_no_q03,hard_negative,refute,0.001,ok,Does the doctor describe the medication as unstable and in need of change?,Your medication is stable.
sample_19_hard_no_q01,hard_negative,refute,0.001,ok,"Alongside asthma, is the patient treated for diabetes?",I am still being treated for asthma and for reflux.
sample_19_yes_q01,positive,support,0.649,ok,Were three prescriptions renewed in total?,"Activel, Aromir, and Isomeprazole. All three renewed."
sample_19_yes_q02,positive,support,0.982,ok,Has Esomeprazole been renewed as well?,"Activel, Aromir, and Isomeprazole. All three renewed."
sample_19_yes_q03,positive,support,0.97,ok,Is Airomir among the renewed medicines?,"Activel, Aromir, and Isomeprazole. All three renewed."
sample_19_hard_no_q04,hard_negative,refute,0.0,ok,Were the prescriptions stopped rather than renewed?,All three renewed.
sample_19_hard_no_q02,hard_negative,refute,0.027,ok,Was Pantoprazole the acid-reducing drug that was renewed?,The Isomeprazole is the one for the reflux
sample_20_yes_q01,positive,support,0.004,WEAK,Was Ibumetin renewed as well?,"I am creating prescriptions for both PAMEL and ibumedin now,"
sample_20_hard_no_q01,hard_negative,refute,0.012,ok,Did the patient ask for morphine to be renewed?,PAMOL and IBUMETIN.
sample_20_hard_no_q02,hard_negative,refute,0.0,ok,Does the pain affect the lower back alone?,"It is a general, widespread sort of pain, spread around the body rather than in one place."
sample_20_yes_q05,positive,support,0.075,WEAK,Is Pamol one of the medicines requested?,I am creating prescriptions for both PAMEL and
sample_20_yes_q02,positive,support,0.976,ok,Has the pain problem been described as stable?,"Then we are looking at a stable pain problem,"
sample_20_yes_q04,positive,support,0.957,ok,Does the patient still need pain relief?,a continued need for pain relief.
sample_20_yes_q03,positive,support,0.019,WEAK,Were both prescriptions issued?,I am creating prescriptions for both PAMEL
sample_23_yes_q03,positive,support,0.979,ok,Was a skin wart found under the right breast?,"The one under your right breast is a skin wart,"
sample_23_yes_q05,positive,support,0.004,WEAK,Has the patient been informed about the risk of scarring and infection?,there will be a scar where each one is removed and there is a risk of infection afterwards you
sample_23_yes_q02,positive,support,0.002,WEAK,Does the patient want the skin changes removed?,I would still rather have them off than keep catching them understood
sample_23_hard_no_q01,hard_negative,refute,0.0,ok,Has the patient been told that the procedure carries no risk of scarring?,there will be a scar where each one is removed
sample_23_yes_q04,positive,support,0.975,ok,Is an appointment for the removal going to be arranged?,then the appointment for removal is the plan good
sample_23_yes_q06,positive,support,0.001,WEAK,Do the changes on the abdomen and lower leg resemble seborrheic keratoses?,They look like seborrheic keratoses.
sample_23_yes_q01,positive,support,0.994,ok,Were the skin changes judged to be benign?,My assessment is that these are benign skin changes.
sample_23_hard_no_q02,hard_negative,refute,0.002,ok,Are the elements on the abdomen about 2 cm across?,The others on your abdomen and lower leg are 0.6 cm
sample_33_yes_q06,positive,support,0.963,ok,"The visit is a follow-up on allergic rhinitis, correct?",This is your follow-up for allergic rhinitis. Yes.
sample_33_hard_no_q02,hard_negative,refute,0.001,ok,Were daily doses made mandatory going forward?,The plan is to continue it as needed.
sample_33_yes_q02,positive,support,0.991,ok,Is the patient free of symptoms at the moment?,I do not have any symptoms right now. No symptoms at all at the moment?
sample_33_yes_q04,positive,support,0.967,ok,Did the antihistamine work well?,The antihistamine is having a good effect.
sample_33_yes_q03,positive,support,0.662,ok,Has the medication helped the patient?,So the The medicine is genuinely working? Yes.
sample_33_yes_q05,positive,support,0.93,ok,Are the findings unremarkable?,The examination I have done is normal. Normal in all of it? Yes. Nothing abnormal was found on examination.
sample_33_yes_q01,positive,support,0.916,ok,Should the patient carry on with the treatment as needed?,The plan is to continue it as needed.
sample_33_hard_no_q03,hard_negative,refute,0.963,SUSPICIOUS_entails,Was anything abnormal picked up at the examination?,Nothing abnormal was found on examination.
sample_37_yes_q05,positive,support,0.995,ok,Is the skin intact?,The skin is intact.
sample_37_hard_no_q01,hard_negative,refute,0.0,ok,Was erythema migrans seen around the bite?,There is no erythema migrans.
sample_37_hard_no_q03,hard_negative,refute,0.0,ok,Is the risk of Borrelia considered high?,The risk of Borrelia here is low.
sample_37_yes_q03,positive,support,0.981,ok,Was erythema migrans absent?,There is no erythema migrans.
sample_37_yes_q04,positive,support,0.988,ok,Are redness and swelling absent?,No redness at all. Any swelling? No swelling either.
sample_37_yes_q06,positive,support,0.822,ok,"The plan involves no treatment, right?",No treatment is needed.
sample_37_hard_no_q02,hard_negative,refute,0.0,ok,Has the bite area become red and swollen?,"Intact skin. No redness, no swelling, and no rash at the site."
sample_37_yes_q01,positive,support,0.028,WEAK,Did the patient get a tick bite?,A tick bite.
sample_37_yes_q02,positive,support,0.008,WEAK,Has the patient been told simply to keep an eye on the area?,Then what is the plan? Observation.
sample_39_yes_q02,positive,support,0.953,ok,Does the patient have pain in the lower back?,Pain in my lower back.
sample_39_yes_q04,positive,support,0.162,WEAK,Was reduced mobility found during the examination?,"Your movement is also reduced when you bend and turn. Yes, it feels stiff. Putting"
sample_39_yes_q03,positive,support,0.909,ok,Were painkillers part of the treatment plan?,"For treatment, I recommend pain relief and"
sample_39_hard_no_q01,hard_negative,refute,0.0,ok,Does the pain radiate down the leg?,"No, it stays in the lower back."
sample_39_yes_q01,positive,support,0.979,ok,"The pain was assessed as nonspecific musculoskeletal pain, right?","this is nonspecific muscle and joint pain in the back, without radiation."
sample_39_hard_no_q03,hard_negative,refute,0.0,ok,Did the doctor conclude that the pain came from a herniated disc?,"this is nonspecific muscle and joint pain in the back, without radiation."
sample_39_hard_no_q02,hard_negative,refute,0.0,ok,Was the patient's mobility completely unaffected?,Your movement is also reduced when you bend and turn.
sample_42_yes_q02,positive,support,0.011,WEAK,Was the blood pressure measured at 135/88?,Your blood pressure is 135 over 88.
sample_42_yes_q07,positive,support,0.03,WEAK,Did the doctor assess the patient as slightly overweight?,It puts you in the mildly overweight range.
